Name	Designator	Footprint	Quantity
"500mA"	"F1"	"RES-TH_BD2.4-L6.3-P10.30-D0.6"	"1"
"5V6/1W"	"D1,D2"	"D_DO-41_SOD81_P7.62MM_HORIZONTAL"	"2"
"Jumper2P"	"JP4,JP5,JP6"	"SOLDERJUMPER-2_P1.3MM_OPEN_PAD1.0X1.5MM"	"3"
"0.1uF"	"C3,C4,C9,C10,C11,C16,C18,C20,C22,C23,C24,C27,C28,C31"	"C_DISC_D5.0MM_W2.5MM_P2.50MM"	"14"
"SOLDERJUMPER_3_OPEN_SHORT"	"JP11,JP2,JP3,JP1"	"JUMPER:SOLDERJUMPER-3_P1.3MM_BRIDGED12_PAD1.0X1.5MM COPY"	"4"
"100uF"	"C26"	"CP_RADIAL_D5.0MM_P2.00MM"	"1"
"1uF"	"C30,C2,C25"	"C_DISC_D5.0MM_W2.5MM_P2.50MM"	"3"
"0.22uF"	"C7,C5,C6,C12,C13,C14"	"C_DISC_D5.0MM_W2.5MM_P2.50MM"	"6"
"LED"	"IJ1,IG2,IG1,IJ4,IJ2,IJ3,IG4,IG3"	"LED_D3.0MM"	"8"
"1k"	"R29,R5,R6,R7,R8,R17,R18,R21,R22,R37,R41,R42,R54,R44,R47,R53"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"16"
"3.9k"	"R30"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"1"
"470R"	"R32,R31,R34,R38,R39,R40,R55,R62,R63"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"9"
"ARDUINO-MEGA-PRO"	"U9"	"ARDUINO-MEGA-PRO-MINI"	"1"
"Pololu_Breakout_DRV8825"	"A1"	"POLOLU_BREAKOUT-16_15.2X20.3MM"	"1"
"0.01uF"	"C1,C15"	"C_DISC_D5.0MM_W2.5MM_P2.50MM"	"2"
"470pf"	"C8,C29"	"C_DISC_D5.0MM_W2.5MM_P2.50MM"	"2"
"10uF"	"C17"	"CP_RADIAL_D5.0MM_P2.00MM"	"1"
"22uF"	"C19"	"C_DISC_D7.5MM_W5.0MM_P5.00MM"	"1"
"47uF"	"C21"	"CP_RADIAL_D8.0MM_P5.00MM"	"1"
"1n4148"	"D5,D6,D11,D12,D13,D16"	"D_DO-35_SOD27_P7.62MM_HORIZONTAL"	"6"
"SB230TA"	"D14"	"D_DO-41_SOD81_P7.62MM_HORIZONTAL"	"1"
"D_TVS"	"D15"	"D_DO-15_P12.70MM_HORIZONTAL"	"1"
"Trig Cond Socket"	"IC3"	"DIP-8_W7.62MM_SOCKET"	"1"
"TC4424A"	"U2,U4"	"DIP-8_W7.62MM_SOCKET"	"2"
"BT CONECTOR"	"J2"	"PINHEADER_1X06_P2.54MM_VERTICAL"	"1"
"AUX"	"J3,J4"	"PINHEADER_1X06_P2.54MM_VERTICAL"	"2"
"AUX"	"J5"	"PINHEADER_1X04_P2.54MM_VERTICAL"	"1"
"12V AUX"	"J8"	"PINHEADER_1X03_P2.54MM_VERTICAL"	"1"
"STP62NS04Z"	"Q1,Q2,Q3,Q4,Q5,Q6"	"TO255P460X1020X2008-3P"	"6"
"100k"	"R1,R2,R3,R4,R15,R16,R19,R20,R13,R14,R28,R43"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"12"
"2.4k"	"R9,R10,R11,R12,R23,R24,R25,R26,R33"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"9"
"2.49k"	"R35,R36"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"2"
"10k"	"R45,R27"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"2"
"120R"	"R46"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"1"
"2k"	"R52"	"R_AXIAL_DIN0204_L3.6MM_D1.6MM_P5.08MM_HORIZONTAL"	"1"
"SP721"	"U1,U3"	"DIP-8_W7.62MM"	"2"
"MPXH6300AC6T1"	"U5"	"SSOP-8_L7.6-W7.6-P1.27-LS10.2-BR"	"1"
"ULN2003"	"U6"	"DIP-16_W7.62MM"	"1"
"48 WAY ECU"	"U7"	"48 WAY ECU"	"1"
"LM2940ST/LM7805"	"U8"	"TO220B"	"1"
